channel,true_roas,est_roas,hdi_low,hdi_high,abs_pct_error,covered,rel_interval_width,tool,tool_version,scenario,seed,seconds,max_rhat,min_ess,divergences,draws,chains,python
social,2.5009,2.7724,0.4069,5.9161,0.1086,True,2.2029,PyMC-Marketing,0.19.2,correlated,2,165.2,1.02,245.0,2,500,2,3.11.15
search,2.2634,2.5367,0.0391,6.1877,0.1208,True,2.7166,PyMC-Marketing,0.19.2,correlated,2,165.2,1.02,245.0,2,500,2,3.11.15
tv,1.3132,1.2542,1.1807,1.3337,0.045,True,0.1165,PyMC-Marketing,0.19.2,low_variation,0,181.4,1.05,66.0,30,500,2,3.11.15
social,2.3542,3.6492,0.0034,12.6094,0.5501,True,5.3547,PyMC-Marketing,0.19.2,low_variation,0,181.4,1.05,66.0,30,500,2,3.11.15
search,2.0158,6.2117,0.1993,18.8475,2.0816,True,9.2512,PyMC-Marketing,0.19.2,low_variation,0,181.4,1.05,66.0,30,500,2,3.11.15
tv,1.3173,1.3131,1.225,1.4011,0.0032,True,0.1337,PyMC-Marketing,0.19.2,low_variation,1,180.3,1.07,28.0,35,500,2,3.11.15
social,2.4017,3.5839,0.1158,12.3396,0.4922,True,5.0896,PyMC-Marketing,0.19.2,low_variation,1,180.3,1.07,28.0,35,500,2,3.11.15
search,2.0179,6.5531,0.1237,20.4045,2.2474,True,10.0504,PyMC-Marketing,0.19.2,low_variation,1,180.3,1.07,28.0,35,500,2,3.11.15
tv,1.3108,1.3188,1.2419,1.4004,0.006,True,0.1209,PyMC-Marketing,0.19.2,low_variation,2,176.4,1.04,76.0,30,500,2,3.11.15
social,2.4014,4.4575,0.1101,15.8507,0.8562,True,6.5549,PyMC-Marketing,0.19.2,low_variation,2,176.4,1.04,76.0,30,500,2,3.11.15
search,2.0212,9.0546,0.4947,25.9418,3.4798,True,12.5901,PyMC-Marketing,0.19.2,low_variation,2,176.4,1.04,76.0,30,500,2,3.11.15
tv,1.3424,1.2374,1.1097,1.3762,0.0783,True,0.1986,PyMC-Marketing,0.19.2,short_history,0,85.0,1.01,250.0,7,500,2,3.11.15
social,2.8994,3.1531,1.5783,4.6977,0.0875,True,1.0759,PyMC-Marketing,0.19.2,short_history,0,85.0,1.01,250.0,7,500,2,3.11.15
search,2.277,4.8694,1.4828,10.8632,1.1385,True,4.1196,PyMC-Marketing,0.19.2,short_history,0,85.0,1.01,250.0,7,500,2,3.11.15
tv,1.3657,1.3998,1.1853,1.6186,0.0249,True,0.3173,PyMC-Marketing,0.19.2,short_history,1,138.1,1.01,257.0,32,500,2,3.11.15
social,3.0351,4.9147,1.2816,8.612,0.6193,True,2.4153,PyMC-Marketing,0.19.2,short_history,1,138.1,1.01,257.0,32,500,2,3.11.15
search,2.2843,10.1418,1.4925,26.5087,3.4398,True,10.9514,PyMC-Marketing,0.19.2,short_history,1,138.1,1.01,257.0,32,500,2,3.11.15
tv,1.3539,1.2171,1.0661,1.3974,0.101,True,0.2447,PyMC-Marketing,0.19.2,short_history,2,45.9,1.01,214.0,2,500,2,3.11.15
social,3.0584,1.9133,0.9443,3.2027,0.3744,True,0.7384,PyMC-Marketing,0.19.2,short_history,2,45.9,1.01,214.0,2,500,2,3.11.15
search,2.2401,3.2088,1.1856,6.1237,0.4324,True,2.2044,PyMC-Marketing,0.19.2,short_history,2,45.9,1.01,214.0,2,500,2,3.11.15
tv,1.348,1.298,1.2159,1.3931,0.0371,True,0.1315,PyMC-Marketing,0.19.2,endogenous,0,66.0,1.01,202.0,0,500,2,3.11.15
social,3.045,1.7717,1.113,2.5437,0.4182,False,0.4699,PyMC-Marketing,0.19.2,endogenous,0,66.0,1.01,202.0,0,500,2,3.11.15
search,2.3227,3.1186,1.1892,4.6171,0.3427,True,1.4758,PyMC-Marketing,0.19.2,endogenous,0,66.0,1.01,202.0,0,500,2,3.11.15
tv,1.3703,1.3702,1.2703,1.4807,0.0001,True,0.1535,PyMC-Marketing,0.19.2,endogenous,1,67.6,1.01,233.0,0,500,2,3.11.15
social,3.1225,2.6621,1.7488,3.8672,0.1474,True,0.6784,PyMC-Marketing,0.19.2,endogenous,1,67.6,1.01,233.0,0,500,2,3.11.15
search,2.3381,2.7907,0.6221,4.8611,0.1936,True,1.813,PyMC-Marketing,0.19.2,endogenous,1,67.6,1.01,233.0,0,500,2,3.11.15
tv,1.3495,1.357,1.2731,1.4499,0.0056,True,0.131,PyMC-Marketing,0.19.2,endogenous,2,58.2,1.01,444.0,0,500,2,3.11.15
social,3.1144,2.8928,1.988,3.8306,0.0711,True,0.5916,PyMC-Marketing,0.19.2,endogenous,2,58.2,1.01,444.0,0,500,2,3.11.15
search,2.335,3.8855,2.1588,5.7127,0.6641,True,1.522,PyMC-Marketing,0.19.2,endogenous,2,58.2,1.01,444.0,0,500,2,3.11.15
tv,1.348,1.514,1.2961,1.7443,0.1231,True,0.3324,Meridian,2.0.0,clean,0,44.6,1.01,349.0,0,500,2,3.11.15
social,3.045,5.3831,2.3418,8.7815,0.7678,True,2.1148,Meridian,2.0.0,clean,0,44.6,1.01,349.0,0,500,2,3.11.15
search,2.2753,2.9522,1.1649,4.5674,0.2975,True,1.4954,Meridian,2.0.0,clean,0,44.6,1.01,349.0,0,500,2,3.11.15
tv,1.3703,1.4608,1.2167,1.6867,0.066,True,0.3429,Meridian,2.0.0,clean,1,29.1,1.01,536.0,1,500,2,3.11.15
social,3.1225,3.8745,2.2567,5.3868,0.2408,True,1.0024,Meridian,2.0.0,clean,1,29.1,1.01,536.0,1,500,2,3.11.15
search,2.2834,1.8499,0.386,3.2701,0.1899,True,1.2631,Meridian,2.0.0,clean,1,29.1,1.01,536.0,1,500,2,3.11.15
tv,1.3495,1.423,1.2068,1.6554,0.0545,True,0.3324,Meridian,2.0.0,clean,2,30.9,1.0,482.0,0,500,2,3.11.15
social,3.1144,4.6113,2.4629,6.8414,0.4806,True,1.4059,Meridian,2.0.0,clean,2,30.9,1.0,482.0,0,500,2,3.11.15
search,2.2853,2.4987,0.9993,4.204,0.0934,True,1.4023,Meridian,2.0.0,clean,2,30.9,1.0,482.0,0,500,2,3.11.15
tv,1.3616,1.5997,1.3348,1.8714,0.1749,True,0.3941,Meridian,2.0.0,correlated,0,32.3,1.01,251.0,2,500,2,3.11.15
social,2.517,3.1059,0.2378,5.6499,0.234,True,2.1502,Meridian,2.0.0,correlated,0,32.3,1.01,251.0,2,500,2,3.11.15
search,2.3131,2.1773,0.1467,4.8164,0.0587,True,2.0188,Meridian,2.0.0,correlated,0,32.3,1.01,251.0,2,500,2,3.11.15
tv,1.3873,1.5792,1.2839,1.8395,0.1383,True,0.4005,Meridian,2.0.0,correlated,1,32.1,1.01,446.0,0,500,2,3.11.15
social,2.5505,2.5127,0.3925,4.1347,0.0148,True,1.4672,Meridian,2.0.0,correlated,1,32.1,1.01,446.0,0,500,2,3.11.15
search,2.3521,1.6799,0.0901,3.6901,0.2858,True,1.5305,Meridian,2.0.0,correlated,1,32.1,1.01,446.0,0,500,2,3.11.15
tv,1.3527,1.5589,1.3255,1.7947,0.1524,True,0.3468,Meridian,2.0.0,correlated,2,30.3,1.01,511.0,18,500,2,3.11.15
social,2.5009,2.1793,0.5311,4.2208,0.1286,True,1.4753,Meridian,2.0.0,correlated,2,30.3,1.01,511.0,18,500,2,3.11.15
search,2.2634,1.2958,0.0978,2.6966,0.4275,True,1.1482,Meridian,2.0.0,correlated,2,30.3,1.01,511.0,18,500,2,3.11.15
tv,1.3132,1.4164,1.2341,1.6182,0.0786,True,0.2924,Meridian,2.0.0,low_variation,0,35.5,1.01,305.0,0,500,2,3.11.15
social,2.3542,1.8249,0.0932,4.0028,0.2248,True,1.6607,Meridian,2.0.0,low_variation,0,35.5,1.01,305.0,0,500,2,3.11.15
search,2.0158,1.6231,0.1046,3.7644,0.1948,True,1.8156,Meridian,2.0.0,low_variation,0,35.5,1.01,305.0,0,500,2,3.11.15
tv,1.3173,1.3764,1.2024,1.5578,0.0449,True,0.2698,Meridian,2.0.0,low_variation,1,32.6,1.0,530.0,0,500,2,3.11.15
social,2.4017,1.596,0.1596,3.4587,0.3355,True,1.3737,Meridian,2.0.0,low_variation,1,32.6,1.0,530.0,0,500,2,3.11.15
search,2.0179,0.9816,0.121,2.2131,0.5136,True,1.0368,Meridian,2.0.0,low_variation,1,32.6,1.0,530.0,0,500,2,3.11.15
tv,1.3108,1.3969,1.2179,1.5858,0.0657,True,0.2806,Meridian,2.0.0,low_variation,2,32.9,1.01,413.0,2,500,2,3.11.15
social,2.4014,1.442,0.1225,3.0943,0.3995,True,1.2375,Meridian,2.0.0,low_variation,2,32.9,1.01,413.0,2,500,2,3.11.15
search,2.0212,1.1348,0.0987,2.7784,0.4385,True,1.3258,Meridian,2.0.0,low_variation,2,32.9,1.01,413.0,2,500,2,3.11.15
tv,1.3424,1.4541,1.0688,1.914,0.0832,True,0.6296,Meridian,2.0.0,short_history,0,32.0,1.01,515.0,0,500,2,3.11.15
social,2.8994,2.1031,0.346,4.3114,0.2746,True,1.3676,Meridian,2.0.0,short_history,0,32.0,1.01,515.0,0,500,2,3.11.15
search,2.277,1.951,0.3287,3.9812,0.1432,True,1.6041,Meridian,2.0.0,short_history,0,32.0,1.01,515.0,0,500,2,3.11.15
tv,1.3657,1.2061,0.8393,1.6,0.1169,True,0.557,Meridian,2.0.0,short_history,1,28.9,1.01,451.0,1,500,2,3.11.15
social,3.0351,4.899,2.053,7.9148,0.6141,True,1.9314,Meridian,2.0.0,short_history,1,28.9,1.01,451.0,1,500,2,3.11.15
search,2.2843,2.3005,0.1565,4.3668,0.0071,True,1.8432,Meridian,2.0.0,short_history,1,28.9,1.01,451.0,1,500,2,3.11.15
tv,1.3539,1.1963,0.9164,1.4954,0.1164,True,0.4276,Meridian,2.0.0,short_history,2,27.8,1.01,433.0,0,500,2,3.11.15
social,3.0584,3.4523,1.5776,5.9035,0.1288,True,1.4144,Meridian,2.0.0,short_history,2,27.8,1.01,433.0,0,500,2,3.11.15
search,2.2401,3.8176,1.6561,5.8906,0.7042,True,1.8903,Meridian,2.0.0,short_history,2,27.8,1.01,433.0,0,500,2,3.11.15
tv,1.348,1.358,1.2625,1.4509,0.0075,True,0.1398,Meridian,2.0.0,endogenous,0,30.7,1.01,519.0,0,500,2,3.11.15
social,3.045,2.6815,1.6499,3.8793,0.1194,True,0.7321,Meridian,2.0.0,endogenous,0,30.7,1.01,519.0,0,500,2,3.11.15
search,2.3227,4.9266,4.4531,5.3685,1.1211,False,0.3941,Meridian,2.0.0,endogenous,0,30.7,1.01,519.0,0,500,2,3.11.15
tv,1.3703,1.4661,1.3394,1.5903,0.0699,True,0.1831,Meridian,2.0.0,endogenous,1,29.9,1.01,372.0,0,500,2,3.11.15
social,3.1225,3.6904,2.3966,5.08,0.1819,True,0.8594,Meridian,2.0.0,endogenous,1,29.9,1.01,372.0,0,500,2,3.11.15
search,2.3381,4.9836,4.4695,5.535,1.1315,False,0.4557,Meridian,2.0.0,endogenous,1,29.9,1.01,372.0,0,500,2,3.11.15
tv,1.3495,1.4167,1.3207,1.5072,0.0498,True,0.1382,Meridian,2.0.0,endogenous,2,32.1,1.01,541.0,0,500,2,3.11.15
social,3.1144,3.9714,2.527,5.7254,0.2752,True,1.027,Meridian,2.0.0,endogenous,2,32.1,1.01,541.0,0,500,2,3.11.15
search,2.335,4.8899,4.4576,5.3458,1.0942,False,0.3804,Meridian,2.0.0,endogenous,2,32.1,1.01,541.0,0,500,2,3.11.15
